Make,Year,Price,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Additions,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,Drive Type
سكودا اوكتافيا,2015,82000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,125000,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
مرسيدس 412,1999,50000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,400000,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,2+1,
رينو 2003,2003,2100,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,مشطوب,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
اودي A4,2002,39500,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,300000,نقدا فقط,للبيع فقط,4,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",0,1,0,1,0,1,0,1,4+1,
فولكسفاجن كرافيل,2012,130000,رصاصي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,22000,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,7+1,
كيا ريو,2014,45000,بني,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
رينو R9,1986,12000,أبيض,بنزين,تدريب سياقة,فلسطينية,عادي,يدوي,1250,٧٥٤٥٨,إمكانية التقسيط,للبيع فقط,٥,,0,0,0,0,0,0,0,0,4+1,
فولكسفاجن كبينة,1973,25000,أصفر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,12000,نقدا فقط,للبيع فقط,يد رابعة,,0,0,0,0,0,0,0,0,6+1,
اوبل كورسا,2014,45000,رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,91500,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1,1,0,1,0,0,0,1,4+1,
مرسيدس 220,1997,25000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,999999,نقدا فقط,للبيع فقط,9,,0,0,0,0,0,0,0,0,4+1,
فيات بونتو,2009,28000,فضي,بنزين,تأجير,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",0,1,0,1,0,1,0,1,,
اوبل كاديت,1987,15000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,4+1,
هونداي اكسنت,2014,53000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,178000,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,0,0,1,0,1,1,1,4+1,دفع أمامي
فولكسفاجن كادي,2014,85000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,200000,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,6+1,
اودي 80,1987,13500,أزرق,بنزين,تدريب سياقة,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,مسجل CD,0,0,0,1,0,0,0,0,4+1,
سوبارو عريض,1986,20000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,,
هونداي افانتي,2006,34000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",1,1,1,1,0,1,0,0,4+1,
بيجو 306,1999,19000,أبيض,بنزين,عمومي,فلسطينية,عادي,يدوي,1400,,نقدا فقط,للبيع فقط,٠٠٠٠٠,"جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",0,0,1,1,0,1,1,0,4+1,
هونداي توسان,2016,110000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع رباعي 4x4
فولكسفاجن بولو,2014,50000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,66000,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
هونداي اكسنت,2016,62000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,68,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
اوبل فيكترا,1999,22000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,0000000000,إمكانية التقسيط,للبيع فقط,,,0,0,0,0,0,0,0,0,4+1,
بيجو 307,2007,38500,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,نقدا فقط,للبيع أو التبديل,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
سكودا فابيا,2017,57000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,4+1,
كيا سورينتو,2014,110000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,130000,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,دفع رباعي 4x4
بي ام دبليو 325,1997,58000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,3000,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
كيا سيراتو,2017,92000,أبيض,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,28000,إمكانية التقسيط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
سكودا رومستر,2011,50000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1,1,0,1,0,0,0,1,4+1,دفع أمامي
فيات ريجاتا,1988,15000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,4+1,
سكودا اوكتافيا,2006,33000,أبيض,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,1,1,1,4+1,
بيجو 207,2008,38000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123456,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
وسادة حماية هوائية",1,1,1,1,1,0,0,1,,
سكودا فابيا,2006,37000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,750000,نقدا فقط,للبيع أو التبديل,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,0,1,1,4+1,
بي ام دبليو 520,1986,13000,زيتي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,,نقدا فقط,للبيع أو التبديل,,,0,0,0,0,0,0,0,0,,
سكودا اوكتافيا,2016,11500,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٧٠ الف,إمكانية التقسيط,للبيع فقط,١,"مُكيّف
إغلاق مركزي
جهاز إنذار
فتحة سقف
فرش جلد",1,1,1,0,1,0,1,0,4+1,
هونداي i10,2016,57000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٣٥٠٠٠,نقدا فقط,للبيع فقط,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
فولكسفاجن بولو,2015,62000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,53000,إمكانية التقسيط,للبيع أو التبديل,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,0,1,1,1,4+1,
اوبل كورسا,2014,43000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,60000,نقدا فقط,للبيع فقط,6,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
هونداي سانتافيه,2018,142000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,92000,نقدا فقط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,6+1,دفع رباعي 4x4
اوبل اسكونا,1983,13000,خمري,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,11112222,نقدا فقط,للبيع أو التبديل,12,"جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",0,0,1,1,0,1,1,0,4+1,
هونداي فيرنا,2006,37000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,135 الف,نقدا فقط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
كيا اوبتيما,2013,85000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100405,إمكانية التقسيط,للبيع فقط,ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
فولكسفاجن  تي كروس,2019,135000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,إمكانية التقسيط,للبيع أو التبديل,صفر,"مُكيّف
إغلاق مركزي
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,0,0,1,1,1,4+1,
مرسيدس E220,2003,70000,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,167000,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,1,1,0,1,4+1,دفع خلفي
بيجو بارتنر,2007,35000,فضي,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,,إمكانية التقسيط,للبيع أو التبديل,,,0,0,0,0,0,0,0,0,,
سكودا اوكتافيا,2014,88000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٢٠٠,إمكانية التقسيط,للتبديل فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,0,0,1,0,1,4+1,
هونداي i30,2013,60000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,87000,نقدا فقط,للتبديل فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
مرسيدس E350,2013,190000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,95000,نقدا فقط,للبيع فقط,1,,0,0,0,0,0,0,0,0,,
بيجو 301,2015,60000,بترولي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,225,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,0,1,1,4+1,دفع أمامي
كيا سبورتاج,2012,70000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,120000,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,0,1,1,1,4+1,
هونداي جيتس,2008,28500,سكني,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,300000,إمكانية التقسيط,للبيع أو التبديل,ثانية,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",0,1,0,1,0,1,1,1,4+1,
اوبل استرا,1997,26000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,"مُكيّف
مسجل CD",1,0,0,1,0,0,0,0,4+1,
بيجو 306,1998,20000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,إمكانية التقسيط,للبيع أو التبديل,٧,,0,0,0,0,0,0,0,0,4+1,
دايو ماتيز,2002,19000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,3+1,
هونداي توسان,2017,99000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,135000,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
سانغ يونغ موسو,2008,45000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,يد ثاني,"مسجل CD
فرش جلد",0,0,0,1,0,0,1,0,4+1,
ميتسوبيشي لانسر,1990,22000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,0000,إمكانية التقسيط,للبيع أو التبديل,6,"مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",1,0,1,1,0,1,1,0,4+1,
فولكسفاجن جولف,1996,35000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,,نقدا فقط,للتبديل فقط,,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم",0,1,0,1,0,1,0,0,,
اوبل كورسا,2017,60000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,58000,نقدا فقط,للبيع أو التبديل,استيراد,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
هونداي افانتي,2006,46000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120000,إمكانية التقسيط,للبيع أو التبديل,يد أولى,"مُكيّف
إغلاق مركزي",1,1,0,0,0,0,0,0,4+1,
فولكسفاجن جولف,2011,70000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,170000,إمكانية التقسيط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فورد فوكس,2002,5500,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,295000,نقدا فقط,للبيع فقط,يد ثالثة,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",1,1,0,0,0,0,0,1,4+1,
فورد فيستا,2014,40000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,١٨٠٠٠٠,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
شاحنة مان,2008,12345,أبيض,ديزل,تجاري,فلسطينية,اوتوماتيك,الكتروني,240,12345,نقدا فقط,للبيع أو التبديل,12345,,0,0,0,0,0,0,0,0,4+1,دفع رباعي 4x4
فولكسفاجن كادي,2012,66000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,6+1,
سكودا اوكتافيا,2012,54000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,٣٥٠,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,,
مرسيدس 2007,2007,160000,رصاصي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,3500,200000,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فولكسفاجن جولف بلس,2008,33000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,نقدا فقط,للبيع فقط,يد ٤,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1,1,0,1,0,0,0,1,4+1,
فورد فيستا,2015,45000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,10000,نقدا فقط,للبيع فقط,يداولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
اوبل كورسا,2012,42000,أصفر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,145000,إمكانية التقسيط,للبيع فقط,,"مُكيّف
مسجل CD",1,0,0,1,0,0,0,0,4+1,
هونداي اكسنت,2016,85000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,25000,نقدا فقط,للبيع فقط,يد اولى شركة,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,1,1,0,1,4+1,
اوبل فيكترا,2002,35000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2190,30000,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,1,1,0,1,4+1,
مرسيدس 207,1983,20000,برتقالي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2000,,إمكانية التقسيط,للبيع أو التبديل,,,0,0,0,0,0,0,0,0,4+1,
فولكسفاجن كبينة,1985,40000,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,يدوي,2000,,نقدا فقط,للبيع فقط,,جنطات مغنيسيوم,0,0,0,0,0,1,0,0,6+1,
اوبل استرا,2001,43000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,____,إمكانية التقسيط,للبيع أو التبديل,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
فولكسفاجن بولو,1997,25000,أخضر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",0,1,1,1,1,1,0,1,,
سكودا اوكتافيا,2014,64000,أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,دفع أمامي
هونداي اكسنت,2019,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,55,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
بي ام دبليو 520,2013,130000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,121,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,1,1,1,1,4+1,
مرسيدس 914,1992,27000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2400,50000,نقدا فقط,للتبديل فقط,3,"إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
فرش جلد",0,1,1,1,1,0,1,0,2/1,
سكودا فابيا,2016,85000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,١٨٠٠٠٠,نقدا فقط,للبيع فقط,اوله,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
كيا سورينتو,2017,173500,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,60 الف,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,
هونداي اكسنت,2014,60000,أبيض,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,.....,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,0,1,1,,
فيات 127,1979,3500,أصفر,بنزين,خصوصي,فلسطينية,عادي,يدوي,900,0000,نقدا فقط,للبيع فقط,يد اولى,"مسجل CD
فرش جلد",0,0,0,1,0,0,1,0,4+1,
فولكسفاجن كادي,2012,70000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,يد ثالثة,,0,0,0,0,0,0,0,0,6+1,دفع أمامي
اوبل استرا,2006,35000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,180,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
مرسيدس S320,1991,50000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,1,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد",1,1,1,1,1,1,1,0,4+1,
مرسيدس E220,1996,28000,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2200,,نقدا فقط,للبيع فقط,,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد",0,1,0,1,0,1,1,0,,
جييب شيروكي,2010,85000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,0000,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
هونداي i30,2008,47000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع فقط,ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
سيت توليدو,2004,33000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,نقدا فقط,للبيع أو التبديل,5,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,1,1,1,4+1,
فولكسفاجن جولف,2003,58000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2400,,إمكانية التقسيط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
بيجو 307,2007,33000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,29000,نقدا فقط,للبيع أو التبديل,٧,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
جييب همر,2008,105000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,190,نقدا فقط,للبيع أو التبديل,2,,0,0,0,0,0,0,0,0,4+1,دفع رباعي 4x4
فولكسفاجن جولف بلس,2011,24000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,466678,نقدا فقط,للبيع فقط,يد ثالثه,,0,0,0,0,0,0,0,0,4+1,
فولكسفاجن CC,2017,62000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,123000,نقدا فقط,للبيع أو التبديل,يد ٤,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,دفع أمامي
هونداي اكسنت,2015,80000,أبيض,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,48000,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فورد ايدج,2008,29500,أبيض,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,1600,00000,نقدا فقط,للبيع فقط,٣,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1,1,0,1,0,0,0,1,4+1,دفع أمامي
